100;1100;2100;3100;4100
53386;2970001;10593422;23086178;40262237
59990;8182592;29056249;62934759;106761616
99978;11974379;43485568;69122440;107517950
99950;7733010;28210839;61165259;117424327
69951;4279992;15050032;35880003;65740054
19973;1739974;6209998;22170014;24200037
35995;76006;116987;148010;209983
20995;229215;436993;646306;874238
29911;370034;710025;1090116;1419841
20030;169995;370002;570000;804061
29954;320038;699723;1039759;1469969
60158;4409820;15973955;34447592;60187770
9966;280002;620030;1089983;2232622
