50;100;150;200;250;300
7988;29002;67139;114994;328999;442022
32998;139292;330998;474985;1085680;646991
21995;73998;173025;300259;451998;656231
20997;71998;165001;291016;464298;661183
19005;71996;159018;281977;445161;636006
12003;28991;59999;114000;168252;250994
19003;18942;22999;26085;26909;30999
9993;19010;29989;39000;48006;61979
9999;21002;29017;40999;52107;63045
11991;45999;99476;176000;273000;390000
5993;17005;25999;37437;51000;64002
19978;79001;170023;291993;456276;802983
4998;7999;13000;17190;23999;28001
