100;1100;2100;3100;4100
29932;2969816;11352066;23007812;40815886
79862;7792113;27182972;57450883;130025837
89998;10955565;40709742;88449442;153732649
69949;7271979;26226447;57140202;99715601
30001;3709959;13610120;29260034;58640137
29841;1400015;4969969;10649995;18939929
7981;51001;93980;136007;185003
4997;50997;101004;153999;200997
39931;330022;669995;1030004;1362496
29993;1470022;5272548;11252959;19567056
19944;270069;540004;861834;1209957
39969;3629985;13078629;28856991;49937571
9948;130042;250035;350057;569986
