100;1100;2100;3100;4100
38767;2979995;10884743;23619537;41492511
90007;8894053;41020229;75672422;123628359
130012;13404546;48841660;69110525;187145171
120014;8643257;31529700;68812846;120430667
109966;9440030;32030048;69639945;125259977
30055;3379997;19279873;25580022;44550124
25007;59980;95991;144916;195995
18996;212995;418444;623988;839227
19969;279992;529981;809999;1059761
49938;5160000;18717911;42099721;74310253
40001;289751;620000;969968;1330146
110454;8704561;31689760;69352959;121235431
20013;129999;449741;399954;570027
