100;1100;2100;3100;4100
7848;911348;3314848;7218348;12621848
54549;6650049;24245549;52841049;92436549
59600;7255600;26451600;57647600;100843600
59598;7255598;26451598;57647598;100843598
69399;8463399;30857399;67251399;117645399
38414;4299246;15571103;33849603;59128124
15205;44205;73205;102205;131205
6824;73824;140824;207824;274824
12296;200648;415488;649984;877676
40340;4843840;17647340;38450840;67254340
14410;256191;541370;844168;1157156
104382;12701048;46298898;100897398;176495898
5969;105842;219675;356096;475614
