50;100;150;200;250;300
10991;35995;72996;272991;268242;423995
20998;197999;392263;414015;652236;682999
17000;65003;146995;293996;417015;597269
20997;64996;147994;248200;412992;592271
15000;39000;80000;142000;217001;326001
7991;21001;45001;72193;109999;155008
34996;33001;37000;36001;42001;43002
14009;18991;33001;42001;51994;61001
15991;25001;41000;53998;71000;89200
6997;9005;15998;22000;27996;38991
9008;19994;32000;50999;55997;70984
12998;39999;90003;151983;238002;340213
6993;14004;22992;32994;41001;53997
